編號,名稱,簡介說明,鄉鎮,地址,電話,緯度,經度,門票/收費,旅遊叮嚀,行車資訊,大眾運輸,停車資訊
1080,臺中市眷村文物館,臺中市眷村文物館，位在臺中北屯區進化北路與北屯路口附近，前身原為「北屯新村」後更名為「凌雲社區」，為臺中134處眷村之一。北屯新村建於1960年，主要是軍方安置來自貴州飛機製造廠空軍校級以上的技術員及其眷屬的宿舍。10多年前在此居住的榮民陸續搬遷，歷經整頓、修建眷舍活化空間，保存3棟具代表性的眷村建築及其附屬建物，2014年11月中旬落成，佔地約2百多坪，連結現在市民生活與往昔眷村文化，為臺中首座以眷村文化資產保存為主的地方館舍。北屯新村眷舍，採用空心磚興建，室內坪數24-28坪，配置2房1廳及衛浴設備，對於當時來說，可說是相當寬敞舒適，後來民國55年在「北屯新村」前村北側，空軍總司令部另外興建一批房舍，供飛行員及眷屬居住，命名為「凌雲社區」。空間更加廣闊，還有前後院設計，也歸屬於「北屯新村」的一部分，曾經有不少臺灣重要人物居住過此，如小說家孟瑤、美麗島事件的軍法官劉龍飛、中興大學數學權威林致平、台灣婦女運動先驅何春蕤、中華民國空軍飛官歐陽漪棻等，具有特殊的紀念價值。從館區入口，便可見古早「北屯新村柑仔店」，店內的古早味酸鹹甜及彈珠台等童玩，勾起許多兒時回憶。「小梅花商行」店內的各種老台灣生活器皿及懷舊文獻，都讓人感受到早年人們的生活美學。沿著路線走到眷舍與眷舍之間的狹小巷弄，還能看到一間專為男士服務的老台式理髮廳「大方男士理髮」，再繼續到下一棟房子，可看到介紹眷村歷史發展的常設展及固定每年更換的特展，勾起民眾對眷村生活的無限想像。,北屯區,天祥街19號,(04)22334073,24.16124,120.69518,免收費,,,搭乘台中市公車52路、33路、20路等天祥街下車,有停車位
1079,彰化銀行總行及行史館,位在台灣大道與自由路交叉口的臺中彰化銀行總行，興建於日治時期，擁有超過100年的歷史，建築仿古希臘羅馬的柱廊式風格，外觀氣勢雄偉，工藝精美細膩，為臺中著名的地標，遂被指定為市定古蹟，也是臺灣最早由民間籌資設立的銀行，極具文化資產保存與研究的珍貴價值，迄今仍然為彰化總行的營業部使用，二樓設有行史館，保存當時的文史資料，採取預約制參觀。在清代一田二主現象嚴重，日治時代總督府推行龐大公債以清理租權問題，但由於公債補償條件不佳，不受到民眾的歡迎，紛紛拋售求現，為了維護公債的公信力，一方面派員收購，另一方面鼓勵地方人士利用公債集資經營事業。在此時空背景之下，1905年由彰化吳汝祥為首召集臺灣中部的地方仕紳，集資二十二萬日圓大租補償金充為股本，於彰化組織創設「株式會社彰化銀行」，鹿港辜顯榮也被選為監察人，後因環境的需求，銀行遷移至臺中市，是臺灣少數把總行設置於中臺灣的大型商業銀行。,中區,自由路二段38號,(04)22230001,24.13984,120.68222,預約參觀,,,,
1077,思源埡口,"思源埡口位在台中市與宜蘭縣的交界處，歸屬宜蘭縣大同鄉境內，海拔高度1,948公尺，為南湖大山支脈和桃山支脈交會的最低鞍部，也為蘭陽溪與大甲溪的分水嶺，以及兩種氣候的分界線。舊名為比亞南，源於泰雅族語意指「祖先曾經來過的地方」，被日本人諧音稱作為「比亞南」，後來政府將地名改為「思源」，取飲水思源的意思，而「埡口」則指兩山相連的凹陷處。此處林相多屬於暖帶林，上部有紅檜和扁柏，其餘地方還有香楠、烏心石、赤楊及柳杉等樹種，並孕育多種的動物、昆蟲等自然生態。思源埡口為雪山山脈與中央山脈相連之處，以致四季分明、景色秀麗，春夏百花齊放，秋冬樹葉變色紛落，倘若水氣充足，還有機會飄下白雪，可一睹如北國般的唯美景象。",和平區,思源埡口,,24.39116,121.35272,,,1.國道一號：由台中系統交流道下，接后里交流道續行台3線和台8線，至德基水庫後轉台7甲線即可到達思源埡口(思源啞口)。2.國道五號：由國道一號(中山高)至汐止系統交流道轉走國道五號(北宜高速公路)，過雪山隧道至頭城交流道下，轉走濱海公路(2號省道)至壯圍再轉走台7線經宜蘭市至大同鄉，轉台7甲線續行即可到達思源埡口(思源啞口)。3.國道五號：由國道三號(二高)至南港系統交流道轉走國道五號(北宜高速公路)，過雪山隧道至頭城交流道下，轉走濱海公路(2號省道)至壯圍再轉走台7線經宜蘭市至大同鄉，轉台7甲線續行即可到達思源埡口(思源啞口)。,搭乘往梨山或武陵農場的國光客運，在思源站下車。,
1076,大坑景觀橋,2010年在臺中北屯區祥順東路的沿線，陸續闢建新桃花源橋、浪漫情人橋、大坑清新橋，以及藍天白雲橋共四座不同主題特色的文化景觀橋，除了新桃花源橋橫跨廓子溪以外，其餘皆為跨越大坑溪，橋梁連接了四號道路，通往北屯區、大坑區、太平區等地，讓往來的居民交通生活更加便利。景觀橋別出心裁的設計，不論白天或夜晚，各自散發獨特的韻味，民眾特別喜愛來此拍照散心，再加上此處人車不多、地處空曠，入夜後適合結伴騎乘單車，一邊感受閑靜的河岸風光，一邊眺望越夜越美麗的橋群面貌。新桃花源橋為大坑景觀橋群之中最早興建，同時也是最大的一座橋樑，它的外觀為白色的涵洞式造型，橋面兩側設有人行步道，便於民眾悠閒散步、觀賞沿途風景，值得一提的是，步道上的楓葉裝飾，為大坑地區的特色之一。側面看來像座豎琴的浪漫情人橋，以斜拱式的鋼管建成，粉紅色的外型，地面玻璃的設計，是一座為行人專屬的陸橋。古典幽雅的藍天白雲橋，以藍白兩色做搭配，採用天壇衍架的型式，與晴空中的藍天白雲相呼應，夜幕低垂之時，橋樑點燈閃耀迷人的光芒，映襯著黑夜星空，彷彿是一座通往奇幻樂園的入口，相當引人入勝。噴泉式肋骨形狀打造的大坑清新橋，象徵大坑地區青翠山林的景色，因橋樑特殊的弧形、對稱的外觀設計，狀似一隻展翅高飛的蝴蝶，因此也有人稱作「蝴蝶橋」。在夜間璀璨的燈光點綴之下，整座橋宛如一場精彩的燈光水舞秀，綠色的弧線鋼樑像是水柱噴發，搭配鋼樑末端的明亮藍色光點，呈現活力動感之美，絢麗奪目的樣貌，早晚總是吸引不少攝影愛好者駐足此處拍攝留下紀念。景觀橋群鄰近新都生態公園和大坑風景區，可安排早上先行前往兩地遊玩，傍晚夕陽西下再來景觀橋吹風散步，欣賞星光夜色，度過浪漫美好的一天。,北屯區,軍福十三路,,24.16647,120.72786,,,,,
1075,太平光興隆大橋,九二一震災紀念公園附近的台中太平區光興隆橋，跨越頭汴坑溪，銜接太平路與興隆路一段兩條道路，建造於民國72年，距今已30多年的歲月，歷經921大地震、多次風災的摧殘，橋梁年事已高老舊，被列管為危險橋梁，部分橋面斑駁、水泥剝落，橋墩有鏽蝕的痕跡，耐震度也不足，再加上橋面狹小，僅有7.5公尺寬的兩個車道，時常汽機車需要爭道險象環生，導致這個路段交通事故頻傳。在台中縣市合併以後，102年開始動工改建，打造一座嶄新雄偉的光興隆大橋，長度232公尺，寬度20公尺，拓寬橋面成為雙向四車道，並配合都市計畫，橋梁兩頭的道路也拓寬拉直200多公尺，大幅改善地區居民的交通，解決原路段路樹阻礙視線不良、彎道過彎、坡度過斜等問題。橋梁設計以蝙蝠的姿態為意象，象徵取蝠(福)到太平的意思，期盼用路人途經此路段順利通行、平安回家。光興隆大橋的鋼索上設置LED景觀燈，可見藍、綠、紫、黃等多種色彩的光影變化，橋梁兩側增設人行自行車道，與頭汴坑溪沿岸的休憩空間相結合，讓民眾可以輕鬆騎著單車，欣賞河岸城市美景。在夜色逐漸昏暗之下，光興隆大橋透過璀璨燈光的營造，散發出來令人目眩神迷的風采，夜晚的興隆大橋將會是台中太平區絢爛耀眼的新地標，也是附近民眾平日休閒散步的好去處。,太平區,太平路與興隆路一段交會處,,24.11644,120.72566,,,,,
1074,黎明新村,在1950、60年代，受到兩岸關係緊張影響之下，為了分散行政中心在台北的風險，因此省政府搬遷至中台灣，陸續開發了中部大片荒地，以容納眾多所屬相關機構的單位，與安置跟著南遷上班的員工及其家屬。針對此派人遠赴歐美國家考察取經，回台打造新市鎮，規劃辦公與住家合一的整體社區，採用低密度開發、高綠化的空間設計，彷彿花園城市般讓人心曠神怡的優質居住環境，使得不少當時興建的眷舍新村，演變至今雖然已為老舊社區，但仍然是大家心目中喜愛拍照漫步的私房景點，而黎明新村就在此時空背景之下的產物。中部造鎮計畫從霧峰的光復新村最先開始，後續還有中興新村、審計以及長安新村等公家宿舍的興建，占地41公頃的黎明新村則是1975年最後一批完工，總戶數高達1千3百多戶，傳承了先前的成功經驗，如獨立的汙水處理系統化管線設計，以及排除前人所遭遇的各種問題，像是早期興建的眷舍多為公家所屬，但黎明新村的居民擁有土地與房屋的產權，避免了未來因應政府土地重劃考量，住戶被迫搬遷、眷舍拆除等困擾。在廢省之後，機關進行組織改造或是升格，如水利署、環保署環境督察總隊，同時也增加新單位如兒童局，目前在社區內共有十九個公家單位。黎明新村是以干城街為核心，U字形貫穿社區銜接黎明路二段，棋盤狀規劃各街道，隔50-60公尺設置綠地美化，房舍保留前後庭院的空間巧思，呈現低碳自然的生活品質。社區外圍由黎明溝圍繞，它曾提供灌溉農田、疏洪功能，對於居民來說，黎明溝的存在具有特殊的情感意義，日常生活多以此為重心，早晚都有人在河堤上散步看夕陽，沿岸兩旁大樹底下乘涼聊天，或欣賞溪流的自然生態。另外，除了綠意盎然的自然環境，此社區還具備了完善的公共設施以及健全的生活機能，如活動中心、市場以及幼兒到中等教育學校，也更加吸引許多人想遷移至此居住。,南屯區,干城街,,24.15212,120.63213,,,下台中交流道（178.6KM）連接台中港路（台12線）往市區方向直走（遇高架橋，請靠右側行駛高架橋下方）遇黎明路右轉至黎明路二段直行，即可到達,可搭乘長途或國道客運至朝馬站下車後，沿著黎明路二段往南走至大業路口，即可到達。亦可至統聯轉運站搭乘統聯市公車８１路，搭乘和欣、阿羅哈、國光等客運至朝馬下車，可搭乘統聯市公車７５路至「黎明新村站」下車。黎明新村站：７５、８１（統聯客運）干城街口站：２９（仁有客運）環保處站：１０７（台中客運）,路邊均有停車位
1073,青桐林生態園區,園區早期造林多種植梧桐與油桐樹，故此地被稱作為「桐林」，每年四、五月份為開花期，桐花如雪紛飛美不勝收。不時可見台灣獼猴、穿山甲、白鼻心野生動物在林間覓食穿梭其中，或是如藍腹鷳、八色鳥等難得一見的台灣特有種動物也有機會遇到。夜晚螢火蟲閃爍微光，成群蜻蜓蝴蝶悠遊山林，是一處觀察自然生態的絕佳環境，佇立於最高點還可遠方眺望九九峰群之美，或是一覽台中市全景風貌。為了讓大家更貼近這片幅員遼闊的原始自然森林，以低開發為原則，避開環境脆弱危險地段，規劃五條網狀環山步道系統，分別為桐林花廊步道、奧山步道、北坑溪步道、北坑溪步道支線、樟樹林步道，總長度高達4500多公尺，並興建六座木造涼亭及觀景台，讓民眾可以依體能耐力狀態選擇登山步道在森林中散步健行，沿途欣賞林相、動植物並作休憩，吸收森林的芬多精，悠遊在自然風光之間，享受美好的心靈饗宴。,霧峰區,桐林里北坑溪,,24.05121,120.78064,,登山步道:桐林花廊步道－沿線分布油桐樹，四、五月間為賞桐花步道。步道末端為園區中難度較高的路段。北坑溪步道－沿北坑溪，起點位於二號橋涼亭旁。樟樹林步道－包含九九峰亭、忘憂亭、福山坪，觀山景最佳的路線。奧山步道－步道末端為奧山頂點。,國道3號霧峰交流道下→左轉中正路→右轉吉峰路→左轉民生路直行依指標即達,,有停車場
1072,清水大楊油庫,七座大型的油庫總占地約16公頃，每座油庫四周均設置長度約78公尺、牆高約1.5公尺的防溢堤；油庫本體直徑約28.4公尺，高度約16公尺，外環階梯66階，鋼板厚度0.9-1.5公分。不過，在2000年軍方發包委外廠商以廢鐵處理全面拆除油槽，所幸透過民間單位以及地方政府四處奔走、努力協調之下，從得標廠商搶救回最後一座油庫，才得以保存美越戰爭下的歷史文化資產。油料的輸送方式，為美軍停靠在高美海域的油輪，透過埋在地下順著大甲溪的油管，輸送到高北里的加壓站，緊接著再將油料往東一路送到楊厝里的七座油槽裡面。2014年大楊國小北側的大楊油庫休憩公園落成，大楊油庫就是公園裡最獨特的風景，油庫平常不開放內部參觀，外圍有防火牆、柵門以及樹林做阻隔，自111年4月1日起，每週六上午10-12點免費開放參觀。開放時段內請逕洽111年度大楊油庫教育推廣單位 楊厝社區發展協會 曾文君先生 協助開門進入參觀。聯絡方式：0921-787803。,清水區,楊厝里頂三庄路10-1號,,24.29557,120.61177,,,自行開車：1.中二高清水交流下->海風里與楊厝里交界處。 2.大雅(中清)交流道->右轉中清路一段直行中清南路左轉中清路三段->直行中清路四段直行中清路右轉神清路直行->左轉為大楊國小直走即可看到。,,路旁有停車位
1071,抽藤坑休閒農業區,坐落於大甲溪南岸的新社中和里社區，舊名為抽藤坑，緣起於早期此地溪流兩岸的山坡地，天然生長了許多黃藤，而居民會在此採黃藤(抽黃藤)供給製作家具之用，故有此名。區內範圍包含十股林、中和(抽藤坑)、溪頭及龍安四個聚落，居民多來自於客家族群，從事農耕為主，昔日以盛產香蕉而聞名。區內總面積582公頃，海拔約500-1000公尺，平均氣溫22度，四面環山，全年氣候涼爽宜人，再加上抽藤坑溪流經貫穿，生態多樣、物產豐饒，環境清幽、霧氣迷濛宛如世外桃源。此區擁有得天獨厚的自然環境，一年四季都適合來此旅遊，可觀賞不同的花海，親水公園戲水消暑，觀察生態夜間螢火蟲，果園採果品嘗新鮮水果，農夫市集採買伴手禮，暗影山步道登高俯瞰山林美景等活動。此外，歷史建築白冷圳也絕對不容錯過，白冷圳為昔日提供新社、東勢等地區水源的水利設施，並因應地形設置三座倒虹吸管，運用位能上的落差，轉換成動能使水向上流動，防止水逆流或停住，其中又以2號倒虹吸管最具規模。由於此區距離臺中市區僅車程1小時，景觀餐廳與休閒農場林立，像是栽種各種香草植物的薰衣草森林、歐式鄉村庭院風的安妮公主花園，綻放金針花海的沐心泉休閒農場，以及位在至高點視野遼闊的雲閒居等，餐飲住宿一應俱全，農業與休閒的結合，讓原本人煙稀少的小村落，吸引眾多遊客特地前來旅遊渡假，享受遠離都市喧囂的慢活之旅，同時也有不少新移民遷入落地生根，實現他們夢想中的幸福家園。抽藤坑休閒農業區，獨特的氣候、生態與地理環境，成為人們隨時想放鬆心情、親近大自然的最佳首選。,新社區,中和里社區,0928-629627,24.1712,120.83322,,,◆國道一號或三號(中山高.二高)轉國道四號走到底→往豐原、石岡方向→左轉接台3線到【東勢】→從東勢往谷關方向(台8線)於10.5k處右邊會看到【龍安橋】右轉往新社→過橋後就屬於抽藤坑休閒農業區→順著路右轉彎一直直行會看到白冷圳虹吸管，再往前三叉路口左轉則進入中和社區台中市區走文心路接東山路(或市區走太原路) →往大坑方 →上中興嶺 →過香菇街 →往薰衣草森林方向即可到達中和社區,,
1070,麗水漁港,??觀夕照賞鳥、騎單車看海的絕佳勝地。位在臺中最西南端龍井區的麗水漁港，原為一座發展有百年歷史的老漁港，因受到鄰近的火力發電廠興建的影響之下，致使漁業發展日漸沒落乏人問津，幾乎不再有船隻來此捕魚，僅剩少數的膠筏停靠.,龍井區,三港路65號,(04)26562650,24.20007,120.49491,,,中山高台中交流道下往台中港方向→至坪頂遊園路左轉→約五百公尺見指標往龍井方向右轉（龍新路）直行約４公里→接沙田路左轉→順著路右轉約５公里，即可見指標。中二高龍井交流道下往龍井方向→接龍新路右轉直行→接沙田路左轉→順著路右轉約５公里，即可見指標。西濱快速道路（６１號省道）→至龍井鄉麗水村三港路右轉往（福順宮）牌樓方向轉入即可抵達。,,
1066,菩薩寺,菩薩寺位在台中市大里區，建築外觀沒有宗教寺廟慣有的宮殿式歇山屋頂、雕梁畫棟琉璃瓦等裝飾，而以不假雕琢修飾的清水模為建築語彙，堅守返璞歸真的無華質樸。大門以「退」為設計概念，臨路謙退讓出部分建築線而安置一株老梅樹，樹下有石，供過客安歇；門上有字，題名「安居」，望訪客「回菩薩家」正如「返自己家」從容安住。走入門內，路旁的「照顧腳下」不只叮嚀，也是佛教裡「腳踏實地，把路走好」的涵義；穿越小橋，抵達「彼岸極樂」，腳下的「求道之路」是菩薩寺設計的核心概念，是連接寺內一樓到三樓的唯一路徑：一折平台鐘，二折菩薩殿、三折回望來時路─詮釋著求道過程的層層心境，每一個轉折都是決定，都是決心。,大里區,永隆路147號,(04)24079920,24.10629,120.67707,,因寺中常有法會舉行，建議前往前先致電：04-24079920詢問,沿國道3號下中投公路交流道出口→轉中投公路(台63線)→靠左上匝道走中投快速公路(台63線)→ 於德芳路三段右轉→接德芳路二段→約300米後 到達永隆路口→左轉前進約350米抵達菩薩寺,●高鐵1.直接在新烏日站搭乘火車到台中火車站再改搭公車。2.直接由高鐵台中站大廳層5、6號出口手扶梯至1樓客運轉運站，前往6號出口至10號公車月台搭全航客運於大里仁愛醫院站下車，下車後順著國光路走，右轉永隆一街，再右轉永隆路就可看到菩薩寺；或左轉東榮路（仁愛醫院對面方向），再左轉永隆路就可看到菩薩寺。,附近街道旁皆有路邊停車位
976,馬鞍壩生態園區,馬鞍壩生態園區，為臺中和平區的大甲溪發電廠的轉型，結合森林水資源、電力科技與自然生態，不僅是中部水力發電的核心，還是蘊藏豐富魚類、鳥類、蝶類、獼猴、野豬及植物等生態廊道，兼具能源教育與生態觀察的功能，並且設有鐵馬驛站，可提供自行車友休憩的環境，民眾可規劃來此遊玩，享受附近的森林芬多精，造訪百年水利建設白冷圳，或是搭配鄰近景點谷關溫泉、八仙山森林遊樂區一同前往來趟知性休閒之旅。馬鞍生態園區內包含有馬鞍壩綠能發電展示、動輪實體、科技展示館、馬鞍進水口、發呆亭、鷺鷥島、天輪白冷吊橋、白冷圳取水口、新天輪尾水、白冷冰棒、白冷肉包、生態魚道展示等旅遊景點特色。值得一提的是，馬鞍壩綠能發電展示區，設置相關發電機器，現場可從儀表看出即時發電量，讓民眾了解風力與太陽能發電受到氣候的影響，另外也提供民眾體驗操作水輪機發動，了解水力發電的原理；生態魚道展示區，設置參觀步道、開設觀魚窗，可了解魚類洄游實況。位於馬鞍壩與大甲溪發電廠之間的天輪白冷吊橋，橋長100公尺，橫跨大甲溪，原為白冷地區大甲溪兩岸主要通道，目前因吊橋年代已久，基於安全因素考量，僅供民眾步行，車輛改由馬鞍壩頂道通行。漫步在橋上，往上游可眺望大甲溪發電廠出水口，往下游可眺望鷺鷥翱翔天際，水力資源與自然生態美景盡收眼底離開園區以前，不容錯過品嘗在地的好滋味，如消費合作社所自產的枝仔冰「白冷冰棒」和超過40年歷史的客家風味包子「白冷肉包」,和平區,天輪里東關路2段89-1號,(04)25941574#6094,24.18416,120.9139,,"1.請帶著尊重自然的心,來鑑賞園區的鳥類.蝴蝶.魚與植物等自然生態之美,並禁止鳴放鞭炮2.順著步道前行,避免破壞汙染溪床與地形脆弱的環境3.在自然的環境中,宜著與自然環境相調的衣褲,寬緣帽運動鞋或登山鞋,並隨時預防蛇,蜂與蚊蟲叮咬4.謹慎安靜的旅行,避免干擾動物、植物的生息5.溪流湍急並有暗流,為了您的安全請勿進入水域範圍6.發電廠特定區域是具高度危險性的,一定要特別注意安全7.林蔭步道自由行，發電廠廠區實施人員及車輛管制,請於3日前以電話預約，預約電話:04-25941574#625孫先生，每時段參觀人數限額35","國道1號台中系統或國道3號中港系統交流道,轉國道4號往東勢方向,下匝道後接台3線,過東勢大橋,接接台8線,於22.5公里處。","客運：豐原搭乘豐原客運往谷關,於白冷站下車鐵路：豐原轉客運。高鐵：台中烏日站下車，轉台中市公車""153副""線，白冷站下車",內有停車場
975,水流東休閒農業區,農產品以葡萄、紅龍果、水稻、梨子、百香果、番茄、桃子、牛乳與蔬菜等為大宗。區內有眾多葡萄酒莊是最大特色，連續兩年辦理的紅酒馬拉松吸引非常多的遊客前往參加，整年遊客日益增加。,外埔區,永豐里六分路90號  (外埔旅客服務中心),(04)26832311#205,24.33193,120.6604,,,,,
974,梨之鄉休閒農業區,範圍含東勢區中嵙小段等地號，總面積為584.0011公頃，「高接梨的發源地(梨文化館)、體驗採果（梨）、賞螢」，此區申請中休閒農場眾多，本地環境及氣氛非常優閒，體驗活動種蘭花、採果樂、手作草仔粿等農業體驗,東勢區,東崎街四段242號,(04)25881829,24.25464,120.84898,,,,,
973,IKEA 宜家家居,"IKEA 台中店位於南屯區向上路與惠文路口，台中文心森林公園斜對面， 是一棟地上四層、地下兩層的的獨棟建築設計，為目前全台最大的 IKEA，賣場面積超過 11,000 坪。特色包括: 融入台中當地特色，打造最大最多展示空間 台中民眾居住空間坪數較大、透天厝房型比例偏高，空間格局多是長方形，台中店擁有超過 2,000 坪的家具部，擁有 64 間展示間，及 3 個完整的居家空間展示近 4 千項的家飾品，完整展示呈現",南屯區,向上路二段168號,(04)27049699,24.14704,120.64291,,,開車前往: 請從「惠文路」進入停車場。機車前往: 請由「大觀路」進入機車停車場,公車前往:搭乘全航客運 5 號公車，以及豐榮客運 89 號公車：請在向上惠文路口站下車後即達 IKEA；搭乘統聯客運 53 號、73 號與 85 號公車: 請在文心森林公園站下車後，往向上路方向步行約 5 分鐘；搭乘台中客運 27 號、72號與 107 號公車，以及統聯客運 81 號公車：請在公益惠文路口站下車後，往惠文路方向步行 8 分鐘,店內免費汽車停車位位於 1 樓及地下 1、2 樓(近 500 個)店內免費機車停車位位於 1 樓(近 600 個)或可停在附近廣兼停 95 停車場或是文心公園停車場，或是大墩國中停車場。
972,台灣太陽餅博物館,臺灣太陽餅博物館傳承了太陽餅發明人魏清海老師傅三代手藝的純正好滋味，結合藝文展覽、互動影音、交流座談、輕食餐飲等多元面向，帶給民眾截然不同的全新體驗。,中區,臺灣大道一段145號,(04)22295559,24.13968,120.68241,,,,,
971,臺中文學館,"位於柳川東路與自立街交會處的台中文學公園，面積約2,887平方公尺，為台中首座以文學為主題的公園，進入園區可見檜木搭建的古老日式建築，為1932年日治時期建造的警察宿舍群，原為面臨剷平拆除的廢墟，後來經過各方搶救被保存下來，103年開始進行修復工作，改建為台中文學館，用以推廣在地文學家作品，培育市民文學涵養向下扎根，預計六棟館舍將規劃常設展、主題特展、兒童文學展、主題餐廳等，並舉辦相關的展演講座活動，拓展文學更多的可能性。漫步在園區，撲鼻而來的陣陣檜木香，映入眼簾的日式建築、古樸的木板迴廊及綠意的庭院造景，環境清幽恬靜，讓人有如置身於日本街頭的錯覺，是一處充滿日式建築與文學氣息的場域。園區中央豎立一棵令人驚豔的珍貴老榕樹，被視為來到台中文學館必賞的風景，榕樹高達約3層樓高，因歷史悠久，形成特殊的氣根廊穴景觀，視覺上相當壯觀，吸引許多人在此處拍照留念，若是仔細觀察還會發現一台前人所留下的腳踏車，被氣根盤根錯節包覆沒有拆除，使人深刻體會到景物依舊，物換星移、人事已非的感受。台中文學公園除了如一般公園具備的綠美化植栽景觀外，還包含有樹影牆、書夾亭、種子文學廣場等文學元素的巧思設計，以及古代文人雅士雅用來吟詩罰酒助興的遊戲「曲水流觴」、磚牆鑲嵌不同大小位置的方框「老牆說書」、描寫台中作家趙天儀的新詩《小草》「墨痕詩牆」，讓文學更貼近大家的生活之中，同時也推出定期導覽解說，帶領民眾認識公園的文化故事。此處鄰近不少特色景點如州廳、演武場、第五市場等地，可利用台中市iBike公共自行車租借服務，漫遊體驗台中城市之美。",西區,樂群街38號,(04)22240875,24.13924,120.67257,,,,,
970,牛罵頭遺址文化園區,位在鰲峰山上的牛罵頭遺址文化園區，以臺中最早發現的新石器中期文化代表「牛罵頭遺址」所在地命名，地底下蘊藏不少的文化層堆積，地面上也歷經不同時期的更迭。「牛罵頭」為臺中清水區的舊稱，源自於平埔拍瀑拉族(Papora)的聚落牛罵社(Gomach)音譯而來，園區規劃兼具保存文化資產與展示教育的用途，不僅展出文化遺址介紹、出土文物典藏、考古挖掘方式等讓大家認識臺灣中部地區過去人類的生活面貌與拓墾歷程，還有日治時期神社留下來的遺跡以及原軍事營區的建築設施設置在其中，是一處蘊藏豐富歷史文化意義的空間。    四千多年前的史前時代，「牛罵頭遺址」所在地孕育保存了「牛頭罵文化」、「營埔文化」、「番仔園文化」等文化層的遺跡，並與南部「牛稠子文化」也有往來關係，相互影響發展。拍瀑拉族人原在此漁獵游耕生活，直到十七世紀中葉以後，陸續受到荷蘭人統治以及明清時期的大量漢人移入開墾，改變了他們的生活方式與傳統文化。1895年進入日治時期，日本人先行在此地闢建運動場，因環境優美，而後興建「清水神社」，為政教合一的日本精神代表，也是做為控制殖民地人民信仰的工具。臺灣光復以後，此處改為陸軍砲兵部隊清水營區，因後來營區裁併土地歸還臺中市政府，牛罵頭遺址在多位學者專家建議之下，被列為市定遺址並活化空間，規劃為牛罵頭遺址文化園區。,清水區,鰲海路59號,(04)22290280#505,24.26825,120.58051,,一、禁止事項：展場禁止飲食（包含檳榔、口香糖、酒等），全面禁止吸菸、禁止寵物、禁止爬樹、禁止停車、禁止騎車、禁止空拍、禁止風箏、禁止搭帳蓬、禁止攜帶危險物品。二、進入館內請安靜，嚴禁喧鬧及請關閉行動電話或切換靜音，並遵守各項規定。三、若遇緊急事故，請依本館人員指示，依序離開。四、觀景平台禁止攀爬欄杆、觀景平台外保安林及園區內禁止投擲雜物（石塊垃圾等）、TP3探坑禁止投擲石頭。五、園區鄰近山區，請自備防蚊液，並注意虎頭蜂毒蛇出沒，若於草叢、花圃發現虎頭蜂及蛇類出沒，請通知園區保全04-26220800。六、為控制本園區展場參觀品質，同一時間參觀人數過多時，得限制進場人數。七、預約團體如遇不可抗力之原因需取消預約導覽，請於3天前通知本處。八、請注意自身及隨行小朋友安全。,1.由中清交流道下→接中清路(省道台10)往清水方向→經台中機場(省道台10乙)往清水方向→依指標行進即可到達。2.由中港交流道下→接台灣大道(省道台12)往沙鹿方向→轉中山路(省道台1)往清水大甲方向→轉學園街接中航路(省道台10乙)往大雅方向→依指標行進即可到達。,1.清水火車站下車，搭乘111路線公車，牛罵頭遺址站下車即到達。2.客運車：清水高中站下車，步行上鰲峰山市鎮公園，約10~15分鐘。,
969,坪林森林公園,"面積廣達11.7公頃的坪林森林公園，位處國軍台中總醫院對面，鄰近勤益科技大學，原為國防部國軍坪林營區用地，因近年來國軍組織人力精簡，土地的需求銳減，故活化空間改建為一座兼具景觀、休憩與滯洪的多功能生態公園，規劃為3.7公頃的原始森林公園和三萬二千立方公尺的生態滯洪池區，防汛期間提供滯洪及儲水的用途，平時則做為當地民眾的遊憩空間。多樣的生態景觀，完善的服務設施，特別受到幼兒家長的喜愛，假日帶孩童來此處遊玩。坪林森林公園區內包含有環湖步道、親水木棧道、兒童遊憩區等公共設施，還有可容納觀眾1,200人的戶外展演廣場，獨特的造型設計是一大亮點，可提供當地民眾舉辦各種類型活動的表演舞台場地。此外，園區保留了695棵原生樹林，栽種緋寒櫻、落羽松、阿勃勒、黃花風鈴木等樹種，樣貌會隨著四季變化，並搭配滯洪池裡一片綠意的水生植物、悠游其中的魚兒，風景相當優美，令人心曠神怡，適合來此運動散步、欣賞自然生態，或是邀約三五好友在樹蔭下草地野餐。坪林森林公園的興建，不僅僅提供當地民眾擁有一處舒適的生活空間，增加都市周遭的綠地生態環境，減低颱風暴雨的侵襲，導致區域淹水造成附近民眾財產損失的困擾，也進一步調節附近地區的微氣候，改善空氣汙染的情況，整體提升當地民眾的生活品質，替台中打造成為一座綠色樂活城市。",太平區,中山路二段 (803國軍醫院對面),,24.14812,120.72996,,,,,
968,八方國際商城ˍ八方國際觀光夜市,八方國際商城是一個綜合的休閒美食廣場，我們將打造一個新型態的觀光夜市。開放時間：每周三、五、六、日晚間。,豐原區,豐原大道一段165號,(04)25238367,24.24539,120.70386,,,自行開車前往 (台中市豐原區豐原大道一段165號)，一心路上、全家便利超商對面附有免費平面停車場,於『豐原客運總站』或『中正路上站牌』搭乘12號公車，直至『豐原大道一心路口』下車,
